fold,train,valid
0,0.8173383385269571,0.7845063363152547
1,0.8172298725507076,0.7873646625808101
2,0.8180919144561162,0.7819043734593432
3,0.8169371322052912,0.7900721364845436
4,0.8185659087851438,0.7814348539066925
overall,0.8176326333048431,0.7850253949769289
